age;workclass;education;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;result
[36-44); State-gov; Bachelors; Never-married; Adm-clerical; Not-in-family; White; Male;[57-3048);[-inf-1552);[40-42); United-States; <=50K
[44-62); Self-emp-not-inc; Bachelors; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[36-44); Private; HS-grad; Divorced; Handlers-cleaners; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; 11th; Married-civ-spouse; Handlers-cleaners; Husband; Black; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[28-30); Private; Bachelors; Married-civ-spouse; Prof-specialty; Wife; Black; Female;[-inf-57);[-inf-1552);[40-42); Cuba; <=50K
[36-44); Private; Masters; Married-civ-spouse; Exec-managerial; Wife; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; 9th; Married-spouse-absent; Other-service; Not-in-family; Black; Female;[-inf-57);[-inf-1552);[-inf-35); Jamaica; <=50K
[44-62); Self-emp-not-inc; HS-grad; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; >50K
[30-36); Private; Masters; Never-married; Prof-specialty; Not-in-family; White; Female;[7074-inf);[-inf-1552);[50-inf); United-States; >50K
[36-44); Private; Bachelors; Married-civ-spouse; Exec-managerial; Husband; White; Male;[5119-5317);[-inf-1552);[40-42); United-States; >50K
[36-44); Private; Some-college; Married-civ-spouse; Exec-managerial; Husband; Black; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[30-36); State-gov; Bachelors; Married-civ-spouse; Prof-specialty; Husband; Asian-Pac-Islander; Male;[-inf-57);[-inf-1552);[40-42); India; >50K
[22-24); Private; Bachelors; Never-married; Adm-clerical; Own-child; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[30-36); Private; Assoc-acdm; Never-married; Sales; Not-in-family; Black; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[30-36); Private; 7th-8th; Married-civ-spouse; Transport-moving; Husband; Amer-Indian-Eskimo; Male;[-inf-57);[-inf-1552);[42-50); Mexico; <=50K
[24-28); Self-emp-not-inc; HS-grad; Never-married; Farming-fishing; Own-child; White; Male;[-inf-57);[-inf-1552);[35-40); United-States; <=50K
[30-36); Private; HS-grad; Never-married; Machine-op-inspct; Unmarried; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; 11th; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[36-44); Self-emp-not-inc; Masters; Divorced; Exec-managerial; Unmarried; White; Female;[-inf-57);[-inf-1552);[42-50); United-States; >50K
[36-44); Private; Doctorate; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[44-62); Private; HS-grad; Separated; Other-service; Unmarried; Black; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[30-36); Federal-gov; 9th; Married-civ-spouse; Farming-fishing; Husband; Black; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; 11th; Married-civ-spouse; Transport-moving; Husband; White; Male;[-inf-57);[1979-2162);[40-42); United-States; <=50K
[44-62); Private; HS-grad; Divorced; Tech-support; Unmarried; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Local-gov; Bachelors; Married-civ-spouse; Tech-support; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[-inf-22); Private; HS-grad; Never-married; Craft-repair; Own-child; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; HS-grad; Divorced; Exec-managerial; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); Private; HS-grad; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[22-24); Local-gov; Assoc-acdm; Never-married; Protective-serv; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[-inf-22); Private; Some-college; Never-married; Sales; Own-child; Black; Male;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[44-62); Private; Bachelors; Divorced; Exec-managerial; Own-child; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Federal-gov; Some-college; Married-civ-spouse; Adm-clerical; Own-child; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[22-24); State-gov; Some-college; Married-civ-spouse; Other-service; Husband; Black; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[44-62); Private; 11th; Never-married; Machine-op-inspct; Unmarried; White; Male;[-inf-57);[-inf-1552);[40-42); Puerto-Rico; <=50K
[-inf-22); Private; Some-college; Never-married; Machine-op-inspct; Own-child; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[-inf-22); Private; HS-grad; Married-AF-spouse; Adm-clerical; Wife; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[44-62); Self-emp-not-inc; Assoc-acdm; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Private; 9th; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[44-62); Self-emp-not-inc; Bachelors; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[24-28); Private; Bachelors; Married-civ-spouse; Tech-support; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); Private; HS-grad; Separated; Adm-clerical; Unmarried; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[24-28); Private; HS-grad; Never-married; Handlers-cleaners; Not-in-family; White; Male;[-inf-57);[-inf-1552);[35-40); United-States; <=50K
[44-62); Federal-gov; Bachelors; Married-civ-spouse; Prof-specialty; Husband; Black; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[44-62); Private; HS-grad; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;[-inf-57);[-inf-1552);[35-40); United-States; <=50K
[44-62); Private; Masters; Divorced; Exec-managerial; Unmarried; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); State-gov; Assoc-voc; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[28-30); Private; Assoc-voc; Never-married; Prof-specialty; Not-in-family; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
